Date,fighter1,fighter1_result,method_or_round,fighter2,Venue,Undercard fights,link,fighter1_record_wins,fighter1_record_draws,fighter1_record_losses,fighter2_record_wins,fighter2_record_draws,fighter2_record_losses,fighter1_height_cm,fighter2_height_cm,fighter1_ko_percentage,fighter2_ko_percentage,fighter1_debut,fighter2_debut
"Friday, 2 May 2025",Ryan Garcia,Loser,"UD, Round 12",Rolando ‘Rolly’ Romero,"Times Square, New York, NY, United States","Devin Haney Beat  Jose Ramirez (UD 12) 
Teofimo Lopez Beat  Arnold Barboza Jr (UD 12)",https://box.live/fights/garcia-vs-romero/,24,0,1,16,0,2,178,173.0,83,81,2016,2016
"Thursday, 1 May 2025",Kevin Lerena,Winner,"TKO, Round 3",Serhiy Radchenko,"Sunbet Arena, Pretoria, South Africa",,https://box.live/fights/lerena-vs-radchenko/,30,0,3,11,0,7,185,186.0,47,45,2011,2014
"Sunday, 27 April 2025",Marlon Tapales,Winner,"RTD, Round 3",Jon Jon Jet,"General Santos City, Cotabato del Sur, Philippines",,https://box.live/fights/tapales-vs-jet/,39,0,4,15,1,1,163,166.0,0,0,2008,2015
"Saturday, 26 April 2025",Chris Eubank Jr,Winner,"UD, Round 12",Conor Benn,"Tottenham Hotspur Stadium, London, United Kingdom","Anthony Yarde Beat  Lyndon Arthur (UD 12) 
Aaron McKenna Beat  Liam Smith (UD 12) 
Viddal Riley Beat  Cheavon Clarke (UD 12) 
Chris Billam Smith Beat  Brandon Glanton (UD 12)",https://box.live/fights/eubank-jr-vs-benn/,34,0,3,23,0,0,180,173.0,74,61,2011,2016
"Sunday, 20 April 2025",Ben Whittaker,Winner,"TKO, Round 2",Liam Cameron,"Resorts World Arena, Birmingham, United Kingdom","Sam Eggington Beat  Lee Cutler (TD 9) 
Frazer Clarke Beat  Ebenezer Tetteh (TKO 1) 
Tyler Denny Beat  Elvis Ahorgah (PTS 10)",https://box.live/fights/whittaker-vs-cameron-ii/,8,1,0,23,1,6,191,183.0,63,43,2022,2009
"Saturday, 19 April 2025",Dalton Smith,Winner,"UD, Round 12",Mathieu Germain,"Park Community Arena, Sheffield, United Kingdom","Caoimhin Agyarko Beat  Ryan Kelly (MD 10) 
Josh Warrington Beat  Asad Khan (UD 10) 
Josh Padley Beat  Marko Cvetanovic (TKO 5) 
Joe Howarth Beat  Mario Portillo (UD 6) 
Leli Buttigieg Beat  Grant Dennis (KO 5) 
Giorgio Visioli Beat  Kane Baker (TKO 4)",https://box.live/fights/smith-vs-germain/,17,0,0,26,1,2,176,,0,0,2019,2015
"Saturday, 19 April 2025",Gabriela Fundora,Winner,"TKO, Round 7",Marilyn Badillo Amaya,"Frontwave Arena, Oceanside, CA, United States","Jorge Perez Beat  Charles Conwell (SD 12) 
Oleksandr Gvozdyk Beat  Anthony Hollaway (KO 3)",https://box.live/fights/fundora-vs-amaya/,15,0,0,19,1,0,175,160.0,0,0,2021,2017
"Saturday, 19 April 2025",Sadriddin Akhmedov,Draw,"MD, Round 10",Elias Espadas,"Commerce Casino, Commerce, CA, United States",,https://box.live/fights/akhmedov-vs-espadas/,15,0,0,23,0,6,175,178.0,0,0,2018,2012
"Friday, 18 April 2025",Sergey Kovalev,Winner,"KO, Round 7",Artur Mann,"Yunost Arena, Chelyabinsk, Russian Federation",,https://box.live/fights/kovalev-vs-mann/,35,1,5,22,0,4,183,185.0,83,59,2009,2015
"Sunday, 11 May 2025",Fernando Martinez,Winner,"UD, Round 12",Kazuto Ioka,"Ota-City General Gymnasium, Tokyo, Japan",Hayato Tsutsumi Beat  Jaime Arboleda (TKO 3),https://box.live/fights/martinez-vs-ioka-ii/,17,0,0,31,1,3,161,165.0,0,0,2017,2009
"Saturday, 10 May 2025",Emanuel Navarrete,Winner,"TD, Round 8",Charly Suarez,"Pechanga Arena, San Diego, CA, United States","Raymond Muratalla Beat  Zaur Abdullaev (UD 12) 
Sebastian Reyes Beat  Azat Hovhannisyan (UD 10) 
Andres Cortes Beat  Salvador Jimenez (UD 10)",https://box.live/fights/navarrete-vs-suarez/,39,1,2,18,0,0,170,168.0,82,56,2012,2019
